,model,Appropriateness,Information content of outputs,Humanlikeness,round,group
0,blender23b,2.333333333,2.666666667,5,1,1
1,blender2400,3.111111111,3.111111111,4.111111111,1,1
2,blender3b,2,4.25,4.25,1,1
3,blender9b,3.8,3.2,5,1,1
4,dialogpt,2.857142857,2.714285714,4.714285714,1,1
5,gpt3,4.666666667,2.166666667,4.333333333,1,1
6,groundtruth,5,3.333333333,5,1,1
7,plato2,2.909090909,3.181818182,3.363636364,1,1
8,plato224L,3,4,4,1,1
9,plato232L,5,3,3,1,1
10,blender23b,2.666666667,2.333333333,5,1,1
11,blender2400,3,2.888888889,4.777777778,1,1
12,blender3b,3.5,4.5,5,1,1
13,blender9b,4.4,2.6,5,1,1
14,dialogpt,2.571428571,2.714285714,4.142857143,1,1
15,gpt3,4.5,2.166666667,4.5,1,1
16,groundtruth,5,3,5,1,1
17,plato2,3.545454545,2.727272727,3.909090909,1,1
18,plato224L,2,3,4,1,1
19,plato232L,5,5,5,1,1
20,blender23b,2.333333333,1,1.333333333,1,2
21,blender2400,2.777777778,2.333333333,2.111111111,1,2
22,blender3b,3.25,3.75,2.75,1,2
23,blender9b,4,3.2,3.6,1,2
24,dialogpt,3.285714286,2.714285714,3.285714286,1,2
25,gpt3,4.333333333,3,4.666666667,1,2
26,groundtruth,4.333333333,4.333333333,4.666666667,1,2
27,plato2,3.636363636,3.727272727,3.636363636,1,2
28,plato224L,3,3,3,1,2
29,plato232L,5,5,2,1,2
30,blender23b,3,2,2,1,2
31,blender2400,3.666666667,3.111111111,3.555555556,1,2
32,blender3b,3.5,3.5,3,1,2
33,blender9b,3.8,4,3.8,1,2
34,dialogpt,3,3,2.714285714,1,2
35,gpt3,4.166666667,3.833333333,4.333333333,1,2
36,groundtruth,4.666666667,4.666666667,4.666666667,1,2
37,plato2,3.363636364,3.454545455,3.545454545,1,2
38,plato224L,2,2,2,1,2
39,plato232L,5,5,5,1,2
40,blender23b,2.666666667,1.666666667,2.333333333,1,3
41,blender2400,2.888888889,3.111111111,2.111111111,1,3
42,blender3b,4.25,4.5,3.5,1,3
43,blender9b,3.8,4.2,4.2,1,3
44,dialogpt,3.428571429,3,3.285714286,1,3
45,gpt3,4.5,1.833333333,4.166666667,1,3
46,groundtruth,5,4,4.666666667,1,3
47,plato2,3.727272727,3.272727273,3.363636364,1,3
48,plato224L,1,4,1,1,3
49,plato232L,4,5,2,1,3
50,blender23b,1.666666667,1.333333333,2,1,3
51,blender2400,2.777777778,2.666666667,3,1,3
52,blender3b,2.5,2.25,2.75,1,3
53,blender9b,3.4,3.4,3.6,1,3
54,dialogpt,2.142857143,2.428571429,3.714285714,1,3
55,gpt3,3.666666667,3.833333333,4.333333333,1,3
56,groundtruth,2.666666667,3.333333333,4.333333333,1,3
57,plato2,3.090909091,3,3.454545455,1,3
58,plato224L,2,2,4,1,3
59,plato232L,4,4,4,1,3
60,blender23b,3.333333333,2,4.666666667,1,4
61,blender2400,3.666666667,3.444444444,4.888888889,1,4
62,blender3b,3.25,3,4,1,4
63,blender9b,4.6,3.6,4.4,1,4
64,dialogpt,2.857142857,2.857142857,4.142857143,1,4
65,gpt3,4.5,2.333333333,5,1,4
66,groundtruth,4.666666667,2.666666667,5,1,4
67,plato2,3.363636364,3.181818182,3.636363636,1,4
68,plato224L,2,4,4,1,4
69,plato232L,5,5,5,1,4
70,blender23b,2.666666667,3,5,1,4
71,blender2400,2.555555556,3.333333333,4.333333333,1,4
72,blender3b,4,4.25,5,1,4
73,blender9b,4.2,4.4,4.6,1,4
74,dialogpt,2.571428571,3.571428571,4.428571429,1,4
75,gpt3,4.5,2,5,1,4
76,groundtruth,4.333333333,4.333333333,5,1,4
77,plato2,3.454545455,4.272727273,3.818181818,1,4
78,plato224L,1,5,2,1,4
79,plato232L,5,5,5,1,4
80,blender23b,3.272727273,2.272727273,4.454545455,2,1
81,blender2400,2.666666667,2.666666667,4.666666667,2,1
82,blender3b,2.8,3.2,4.6,2,1
83,blender9b,3.555555556,3.444444444,5,2,1
84,dialogpt,3.5,2.875,4.75,2,1
85,gpt3,5,3,5,2,1
86,groundtruth,5,3.25,5,2,1
87,plato2,3.2,3.8,4,2,1
88,plato224L,3,3,4,2,1
89,plato232L,2,3,5,2,1
90,blender23b,3.090909091,2.090909091,4.454545455,2,1
91,blender2400,2.333333333,2.333333333,5,2,1
92,blender3b,2.4,3.4,5,2,1
93,blender9b,3.444444444,3.444444444,5,2,1
94,dialogpt,3.25,2.5,5,2,1
95,gpt3,5,3.5,5,2,1
96,groundtruth,4,2.75,5,2,1
97,plato2,3.2,3.6,4,2,1
98,plato224L,3.5,3.5,4,2,1
99,plato232L,2,3,5,2,1
100,blender23b,3,2.636363636,3,2,2
101,blender2400,2.333333333,2.333333333,2.333333333,2,2
102,blender3b,3.2,4.4,3.4,2,2
103,blender9b,3,3,3,2,2
104,dialogpt,2.5,2.125,2.5,2,2
105,gpt3,5,5,5,2,2
106,groundtruth,4,3.25,3.5,2,2
107,plato2,3.8,4,3.8,2,2
108,plato224L,2.5,3,3,2,2
109,plato232L,1,3,1,2,2
110,blender23b,3.272727273,2.727272727,3.363636364,2,2
111,blender2400,2.666666667,1.333333333,2,2,2
112,blender3b,3.2,3.6,3.2,2,2
113,blender9b,3.222222222,3,3.222222222,2,2
114,dialogpt,3.125,2.5,3.125,2,2
115,gpt3,5,4.5,5,2,2
116,groundtruth,4.5,3,4.5,2,2
117,plato2,3.6,3.6,3.8,2,2
118,plato224L,2,1.5,1.5,2,2
119,plato232L,1,1,1,2,2
120,blender23b,3.727272727,3.363636364,3.818181818,2,3
121,blender2400,3.666666667,3.333333333,3.333333333,2,3
122,blender3b,3,3.2,3.4,2,3
123,blender9b,3.666666667,3.333333333,3.555555556,2,3
124,dialogpt,3.75,4,4.125,2,3
125,gpt3,3.5,5,5,2,3
126,groundtruth,4,4.5,4.25,2,3
127,plato2,3.4,4.4,4.6,2,3
128,plato224L,3,4,3.5,2,3
129,plato232L,5,5,2,2,3
130,blender23b,2.818181818,2.181818182,2.818181818,2,3
131,blender2400,3.333333333,2.666666667,3.333333333,2,3
132,blender3b,2.2,4.2,2.8,2,3
133,blender9b,3.666666667,3.333333333,4.111111111,2,3
134,dialogpt,4,1.5,3.625,2,3
135,gpt3,5,3,4.5,2,3
136,groundtruth,5,3,4.25,2,3
137,plato2,4.2,4,4,2,3
138,plato224L,4.5,4.5,4.5,2,3
139,plato232L,2,4,4,2,3
140,blender23b,3.545454545,2.727272727,4.454545455,2,4
141,blender2400,4,3.333333333,4.666666667,2,4
142,blender3b,3.6,3.8,5,2,4
143,blender9b,3.444444444,3.666666667,4.555555556,2,4
144,dialogpt,3.625,2.5,5,2,4
145,gpt3,5,4,5,2,4
146,groundtruth,5,2.75,5,2,4
147,plato2,4,4.6,4.4,2,4
148,plato224L,4.5,5,5,2,4
149,plato232L,4,3,4,2,4
150,blender23b,2.727272727,2.909090909,4.272727273,2,4
151,blender2400,3.666666667,3,5,2,4
152,blender3b,2.4,4.8,4.6,2,4
153,blender9b,3.444444444,3.888888889,4.333333333,2,4
154,dialogpt,2.75,2.125,4.625,2,4
155,gpt3,5,4,4.5,2,4
156,groundtruth,5,3.5,4.75,2,4
157,plato2,2.6,3.8,3,2,4
158,plato224L,4,4.5,3.5,2,4
159,plato232L,1,4,4,2,4
160,blender23b,2.6,3.4,5,3,1
161,blender2400,1.666666667,4,4.666666667,3,1
162,blender3b,4,4,4.5,3,1
163,blender9b,1,4,5,3,1
164,dialogpt,3.444444444,2.777777778,4.111111111,3,1
165,gpt3,5,2.75,5,3,1
166,groundtruth,5,2.666666667,5,3,1
167,plato2,3.833333333,3.833333333,4.833333333,3,1
168,plato232L,3,4,5,3,1
169,blender23b,2.4,3.4,4.8,3,1
170,blender2400,1.666666667,3,4.666666667,3,1
171,blender3b,3.125,3.375,4.5,3,1
172,blender9b,1,3.5,5,3,1
173,dialogpt,3.555555556,2.777777778,4.111111111,3,1
174,gpt3,4.25,3.5,5,3,1
175,groundtruth,4.833333333,3.166666667,5,3,1
176,plato2,3.5,3.166666667,4.5,3,1
177,plato232L,3,3,3,3,1
178,blender23b,3,2.6,2.8,3,2
179,blender2400,1.333333333,1.333333333,1.666666667,3,2
180,blender3b,4.125,4,4.375,3,2
181,blender9b,1,1,1,3,2
182,dialogpt,3.111111111,2.777777778,3,3,2
183,gpt3,3.75,3.5,3.5,3,2
184,groundtruth,4.5,4.333333333,4.5,3,2
185,plato2,4.333333333,4.5,4.333333333,3,2
186,plato232L,5,5,5,3,2
187,blender23b,3.4,3,3.2,3,2
188,blender2400,1.666666667,1,1.333333333,3,2
189,blender3b,3.5,3.5,3.25,3,2
190,blender9b,1,1.5,1,3,2
191,dialogpt,3.333333333,2.555555556,3,3,2
192,gpt3,5,5,4.75,3,2
193,groundtruth,5,5,5,3,2
194,plato2,4.083333333,3.583333333,4,3,2
195,plato232L,4,3,4,3,2
196,blender23b,3,3.6,3.8,3,3
197,blender2400,1.333333333,4,2,3,3
198,blender3b,3.5,4,3.875,3,3
199,blender9b,1,3.5,2.5,3,3
200,dialogpt,3.444444444,3.777777778,3.555555556,3,3
201,gpt3,4.25,4.25,4.5,3,3
202,groundtruth,3.833333333,4.333333333,4.666666667,3,3
203,plato2,4.25,4.25,4.333333333,3,3
204,plato232L,4,4,4,3,3
205,blender23b,3.6,3.4,4.2,3,3
206,blender2400,3,3.333333333,2.666666667,3,3
207,blender3b,4.25,3.875,3.75,3,3
208,blender9b,1,3,1,3,3
209,dialogpt,3.777777778,2.666666667,2.888888889,3,3
210,gpt3,4.75,3,3.5,3,3
211,groundtruth,4.333333333,3.333333333,3.833333333,3,3
212,plato2,3.75,3.916666667,4,3,3
213,plato232L,4,4,2,3,3
214,blender23b,2.4,3.2,4.6,3,4
215,blender2400,1.666666667,2.666666667,4.333333333,3,4
216,blender3b,3.5,3.125,4.375,3,4
217,blender9b,1,4,5,3,4
218,dialogpt,3.111111111,2.111111111,4.333333333,3,4
219,gpt3,3.75,2.25,5,3,4
220,groundtruth,4.333333333,2.333333333,4.833333333,3,4
221,plato2,3.583333333,3.583333333,4.083333333,3,4
222,plato232L,3,5,4,3,4
223,blender23b,3.6,2.2,5,3,4
224,blender2400,1.666666667,2.333333333,4.333333333,3,4
225,blender3b,3,2.625,4.75,3,4
226,blender9b,1,3,5,3,4
227,dialogpt,3.888888889,2,4.333333333,3,4
228,gpt3,4.75,1.75,5,3,4
229,groundtruth,5,1.833333333,4.833333333,3,4
230,plato2,4.25,3,4.583333333,3,4
231,plato232L,2,4,2,3,4
232,1,6,2,0,4,1
233,2,6,4,1,4,1
234,3,11,20,1,4,1
235,4,8,23,10,4,1
236,5,19,1,38,4,1
237,blender23b,3.5,3.5,5,4,1
238,blender2400,1.833333333,2.833333333,4.833333333,4,1
239,blender3b,2.625,3.5,4.5,4,1
240,blender9b,3.444444444,3.555555556,5,4,1
241,dialogpt,3.333333333,3.333333333,4.666666667,4,1
242,gpt3,4.5,2.75,4.75,4,1
243,groundtruth,4.571428571,3.428571429,4.714285714,4,1
244,plato2,4.666666667,3.666666667,4.333333333,4,1
245,plato232L,5,3,4.5,4,1
246,blender23b,2.5,3.5,4,4,1
247,blender2400,2.166666667,2.666666667,5,4,1
248,blender3b,3,3.625,4.75,4,1
249,blender9b,3.444444444,3.555555556,5,4,1
250,dialogpt,3.5,2.666666667,4.5,4,1
251,gpt3,5,2.5,5,4,1
252,groundtruth,4.285714286,3.142857143,4.714285714,4,1
253,plato2,4,3.166666667,4.666666667,4,1
254,plato232L,4.5,3,3.5,4,1
255,blender23b,2,1,1,4,2
256,blender2400,1.833333333,1.833333333,1.833333333,4,2
257,blender3b,4.125,4.25,4,4,2
258,blender9b,3.666666667,4,3.666666667,4,2
259,dialogpt,3.166666667,3.166666667,3.166666667,4,2
260,gpt3,5,5,5,4,2
261,groundtruth,4.571428571,4.571428571,4.571428571,4,2
262,plato2,4.833333333,4.666666667,4.833333333,4,2
263,plato232L,5,5,5,4,2
264,blender23b,2,1,2,4,2
265,blender2400,1.666666667,1.833333333,2,4,2
266,blender3b,3.375,3.625,3.5,4,2
267,blender9b,3.111111111,3.222222222,3.333333333,4,2
268,dialogpt,3,3.166666667,3.166666667,4,2
269,gpt3,4.5,4.25,4.5,4,2
270,groundtruth,4.285714286,4.428571429,4.571428571,4,2
271,plato2,4,3.833333333,3.833333333,4,2
272,plato232L,4,4,4,4,2
273,blender23b,2.5,4.5,3,4,3
274,blender2400,2.166666667,4.166666667,1.666666667,4,3
275,blender3b,4.625,5,4.125,4,3
276,blender9b,3.333333333,4.666666667,3.333333333,4,3
277,dialogpt,2.5,4.5,2.666666667,4,3
278,gpt3,4.75,5,4.75,4,3
279,groundtruth,4.857142857,5,5,4,3
280,plato2,4.833333333,4.833333333,3.833333333,4,3
281,plato232L,5,5,5,4,3
282,blender23b,2.5,2,3,4,3
283,blender2400,2.333333333,3.666666667,2.666666667,4,3
284,blender3b,4.75,4.875,5,4,3
285,blender9b,3.888888889,4.222222222,4,4,3
286,dialogpt,3.333333333,3.333333333,4.333333333,4,3
287,gpt3,5,5,4.75,4,3
288,groundtruth,5,4.857142857,5,4,3
289,plato2,4.666666667,4.666666667,4.666666667,4,3
290,plato232L,5,5,5,4,3
291,blender23b,2.5,3,5,4,4
292,blender2400,2,3.166666667,5,4,4
293,blender3b,4.125,3.125,4.875,4,4
294,blender9b,3.555555556,3.222222222,5,4,4
295,dialogpt,3.166666667,2.666666667,4.833333333,4,4
296,gpt3,4.5,3,5,4,4
297,groundtruth,4.285714286,3,4.714285714,4,4
298,plato2,4.166666667,3.5,4.666666667,4,4
299,plato232L,4,4,5,4,4
300,blender23b,2,3,5,4,4
301,blender2400,3.166666667,2.333333333,4.833333333,4,4
302,blender3b,4.375,3.125,4.875,4,4
303,blender9b,3.333333333,3,4.888888889,4,4
304,dialogpt,3.833333333,2.166666667,4.833333333,4,4
305,gpt3,4.75,2.25,5,4,4
306,groundtruth,5,2.428571429,5,4,4
307,plato2,4.166666667,2.833333333,4.666666667,4,4
308,plato232L,5,3,4.5,4,4
309,blender23b,2.428571429,3,5,5,1
310,blender2400,3,2.666666667,4.833333333,5,1
311,blender3b,4.428571429,4,4.857142857,5,1
312,blender9b,4,4,5,5,1
313,dialogpt,4,2.666666667,4.833333333,5,1
314,gpt3,4.875,2.625,5,5,1
315,groundtruth,1.333333333,2.666666667,5,5,1
316,plato2,4.333333333,3.333333333,5,5,1
317,plato232L,4,3.666666667,4.333333333,5,1
318,blender23b,3,3,5,5,1
319,blender2400,2.666666667,3,4,5,1
320,blender3b,4.142857143,3.428571429,4.571428571,5,1
321,blender9b,3.25,3.5,5,5,1
322,dialogpt,3.333333333,2.833333333,4.833333333,5,1
323,gpt3,4.875,2.625,4.875,5,1
324,groundtruth,3,2.666666667,5,5,1
325,plato2,3.5,2.666666667,4.5,5,1
326,plato232L,2,3.333333333,3.666666667,5,1
327,blender23b,3.428571429,3.428571429,3.285714286,5,2
328,blender2400,2,1.333333333,2,5,2
329,blender3b,5,5,5,5,2
330,blender9b,3.5,3,3.25,5,2
331,dialogpt,4,3.666666667,3.666666667,5,2
332,gpt3,4.25,4.125,4.125,5,2
333,groundtruth,2.666666667,2.333333333,2.333333333,5,2
334,plato2,3.833333333,3.5,3.5,5,2
335,plato232L,5,5,5,5,2
336,blender23b,3,3,2.857142857,5,2
337,blender2400,2.333333333,2.5,2.666666667,5,2
338,blender3b,3.857142857,4.142857143,4.142857143,5,2
339,blender9b,4,4.5,4.5,5,2
340,dialogpt,3.666666667,3.5,3.666666667,5,2
341,gpt3,4.375,4.5,4.5,5,2
342,groundtruth,2.333333333,2.333333333,2.333333333,5,2
343,plato2,3.833333333,3.666666667,3.666666667,5,2
344,plato232L,4,4,3.666666667,5,2
345,blender23b,2.857142857,3.714285714,3,5,3
346,blender2400,4,4.333333333,3.5,5,3
347,blender3b,4.857142857,4.857142857,4.428571429,5,3
348,blender9b,5,5,5,5,3
349,dialogpt,4.333333333,4.666666667,3.5,5,3
350,gpt3,4.125,4.875,4.875,5,3
351,groundtruth,4.666666667,5,4,5,3
352,plato2,3.833333333,4.333333333,4.166666667,5,3
353,plato232L,3.333333333,4.666666667,1.666666667,5,3
354,blender23b,3.142857143,2.857142857,3.142857143,5,3
355,blender2400,2.666666667,3,3.666666667,5,3
356,blender3b,5,5,5,5,3
357,blender9b,5,5,5,5,3
358,dialogpt,3.833333333,3.833333333,3.833333333,5,3
359,gpt3,4.875,4.875,5,5,3
360,groundtruth,4.666666667,5,5,5,3
361,plato2,4.333333333,4.333333333,4.833333333,5,3
362,plato232L,3.666666667,3.666666667,3.666666667,5,3
363,blender23b,3,1.857142857,4.857142857,5,4
364,blender2400,2.5,3,4.333333333,5,4
365,blender3b,4.571428571,3.285714286,5,5,4
366,blender9b,3.75,3,5,5,4
367,dialogpt,3.833333333,1.833333333,4.833333333,5,4
368,gpt3,4.625,2,5,5,4
369,groundtruth,2,2,5,5,4
370,plato2,3.666666667,3.166666667,4.666666667,5,4
371,plato232L,3,3.666666667,4,5,4
372,blender23b,2.714285714,2.428571429,5,5,4
373,blender2400,2.5,3,4.666666667,5,4
374,blender3b,4.428571429,3.428571429,4.571428571,5,4
375,blender9b,4.25,3.75,5,5,4
376,dialogpt,3.5,2.166666667,4.833333333,5,4
377,gpt3,4.25,2.375,5,5,4
378,groundtruth,3,3,5,5,4
379,plato2,4,3.333333333,4.5,5,4
380,plato232L,3,4.333333333,4.333333333,5,4
381,blender23b,,,3,400,1
382,blender2400,,,4.2,400,1
383,blender3b,,,5,400,1
384,blender9b,,,4.666666667,400,1
385,dialogpt,,,4.75,400,1
386,gpt3,,,5,400,1
387,groundtruth,5,3,5,400,1
388,plato2,,,3.75,400,1
389,plato224L,,,2,400,1
390,plato232L,,,4,400,1
391,blender23b,2.4,2.5,4.6,400,1
392,blender2400,2.859649123,3.157894737,4.947368421,400,1
393,blender3b,3.366666667,3.366666667,5,400,1
394,blender9b,4,3.548387097,4.935483871,400,1
395,dialogpt,3.534883721,2.558139535,4.813953488,400,1
396,gpt3,4.568627451,2.862745098,4.882352941,400,1
397,groundtruth,4.648148148,3.092592593,4.925925926,400,1
398,plato2,3.394366197,3.211267606,4.563380282,400,1
399,plato224L,3.6,3.6,4.1,400,1
400,plato232L,4.230769231,3.384615385,5,400,1
401,blender23b,1.9,1.65,1.925,400,2
402,blender2400,2.122807018,2.087719298,2.210526316,400,2
403,blender3b,2.733333333,2.7,2.833333333,400,2
404,blender9b,3.64516129,3.741935484,3.806451613,400,2
405,dialogpt,3.348837209,2.930232558,3.162790698,400,2
406,gpt3,4.392156863,4.294117647,4.31372549,400,2
407,groundtruth,4.481481481,4.462962963,4.518518519,400,2
408,plato2,3.14084507,3.014084507,3.183098592,400,2
409,plato224L,2.7,2.7,2.7,400,2
410,plato232L,3.846153846,3.769230769,4,400,2
411,blender23b,2.3,2.275,2.25,400,2
412,blender2400,2.456140351,2.368421053,2.350877193,400,2
413,blender3b,3.8,3.766666667,3.766666667,400,2
414,blender9b,4,4,3.967741935,400,2
415,dialogpt,3.325581395,3.186046512,3.162790698,400,2
416,gpt3,4.725490196,4.705882353,4.705882353,400,2
417,groundtruth,4.574074074,4.537037037,4.574074074,400,2
418,plato2,3.802816901,3.816901408,3.774647887,400,2
419,plato224L,3.7,3.6,3.7,400,2
420,plato232L,4.230769231,4.153846154,4.153846154,400,2
421,blender23b,3.65,4.475,3.55,400,3
422,blender2400,3.842105263,4.526315789,3.456140351,400,3
423,blender3b,4.366666667,4.8,4.166666667,400,3
424,blender9b,4.483870968,4.806451613,4.483870968,400,3
425,dialogpt,4.465116279,4.906976744,4.418604651,400,3
426,gpt3,4.607843137,4.960784314,4.882352941,400,3
427,groundtruth,4.87037037,4.981481481,4.925925926,400,3
428,plato2,4.535211268,4.788732394,4.464788732,400,3
429,plato224L,4.3,4.7,4.2,400,3
430,plato232L,4.769230769,5,4.769230769,400,3
431,blender23b,3.125,3.175,3.275,400,3
432,blender2400,3.333333333,3.438596491,3.631578947,400,3
433,blender3b,4.566666667,4.566666667,4.5,400,3
434,blender9b,4.612903226,4.774193548,4.741935484,400,3
435,dialogpt,3.930232558,3.651162791,4.046511628,400,3
436,gpt3,4.803921569,4.745098039,4.921568627,400,3
437,groundtruth,4.833333333,4.851851852,4.925925926,400,3
438,plato2,4.309859155,4.323943662,4.563380282,400,3
439,plato224L,4.2,4.2,4.2,400,3
440,plato232L,4.692307692,4.692307692,4.692307692,400,3
441,blender23b,2.5,2.65,4.775,400,4
442,blender2400,3.263157895,3.210526316,4.894736842,400,4
443,blender3b,3.366666667,3.166666667,4.866666667,400,4
444,blender9b,4.258064516,3.290322581,5,400,4
445,dialogpt,3.325581395,2.488372093,4.837209302,400,4
446,gpt3,4.294117647,2.68627451,4.921568627,400,4
447,groundtruth,4.333333333,2.925925926,4.981481481,400,4
448,plato2,3.676056338,3.323943662,4.605633803,400,4
449,plato224L,3.3,3.8,4.5,400,4
450,plato232L,4,3.153846154,4.923076923,400,4
451,blender23b,3.175,2.15,4.85,400,4
452,blender2400,3.175438596,2.736842105,4.877192982,400,4
453,blender3b,3.833333333,2.866666667,4.933333333,400,4
454,blender9b,4.225806452,3,4.935483871,400,4
455,dialogpt,4.325581395,1.930232558,4.88372093,400,4
456,gpt3,4.843137255,2.039215686,4.960784314,400,4
457,groundtruth,4.814814815,2.481481481,4.87037037,400,4
458,plato2,4.253521127,2.915492958,4.605633803,400,4
459,plato224L,3.9,2.8,4.5,400,4
460,plato232L,4.615384615,2.692307692,4.846153846,400,4